evolvy_id,evolvy_inbox,chatwoot_inbox,created_at,data,periodo,status
32761,5598,1,1704283440,2024-01-03,dentro_periodo,importado
32762,5598,1,1704283567,2024-01-03,dentro_periodo,importado
32763,5871,7,1704283828,2024-01-03,dentro_periodo,importado
32764,5871,7,1704284865,2024-01-03,dentro_periodo,importado
32765,5598,1,1704285184,2024-01-03,dentro_periodo,importado
32766,5598,1,1704285278,2024-01-03,dentro_periodo,importado
32767,5598,1,1704285486,2024-01-03,dentro_periodo,importado
32768,5599,1,1704285504,2024-01-03,dentro_periodo,importado
32769,5598,1,1704285562,2024-01-03,dentro_periodo,importado
32770,5598,1,1704285676,2024-01-03,dentro_periodo,importado
32771,5598,1,1704285791,2024-01-03,dentro_periodo,importado
32772,5871,7,1704286139,2024-01-03,dentro_periodo,importado
32773,5598,1,1704287611,2024-01-03,dentro_periodo,importado
32774,5598,1,1704287973,2024-01-03,dentro_periodo,importado
32775,5871,7,1704288052,2024-01-03,dentro_periodo,importado
32776,5598,1,1704288126,2024-01-03,dentro_periodo,importado
32777,5871,7,1704288375,2024-01-03,dentro_periodo,importado
32778,5599,1,1704288390,2024-01-03,dentro_periodo,importado
32779,5598,1,1704288682,2024-01-03,dentro_periodo,importado
32780,5871,7,1704289472,2024-01-03,dentro_periodo,importado
32781,5871,7,1704289472,2024-01-03,dentro_periodo,importado
32782,5599,1,1704289552,2024-01-03,dentro_periodo,importado
32783,5599,1,1704289679,2024-01-03,dentro_periodo,importado
32784,5598,1,1704290389,2024-01-03,dentro_periodo,importado
32785,5598,1,1704290555,2024-01-03,dentro_periodo,importado
32786,5598,1,1704290917,2024-01-03,dentro_periodo,importado
32787,5598,1,1704290960,2024-01-03,dentro_periodo,importado
32788,5871,7,1704291400,2024-01-03,dentro_periodo,importado
32789,5871,7,1704291543,2024-01-03,dentro_periodo,importado
32790,5598,1,1704291551,2024-01-03,dentro_periodo,importado
32791,5871,7,1704292130,2024-01-03,dentro_periodo,importado
32792,5598,1,1704292458,2024-01-03,dentro_periodo,importado
32794,5598,1,1704293011,2024-01-03,dentro_periodo,importado
32795,5598,1,1704293286,2024-01-03,dentro_periodo,importado
32796,5871,7,1704293657,2024-01-03,dentro_periodo,importado
32797,5598,1,1704293770,2024-01-03,dentro_periodo,importado
32798,5871,7,1704294025,2024-01-03,dentro_periodo,importado
32799,5598,1,1704294164,2024-01-03,dentro_periodo,importado
32800,5598,1,1704294627,2024-01-03,dentro_periodo,importado
32801,5871,7,1704294648,2024-01-03,dentro_periodo,importado
32802,5598,1,1704294664,2024-01-03,dentro_periodo,importado
32803,5598,1,1704295608,2024-01-03,dentro_periodo,importado
32804,5598,1,1704295756,2024-01-03,dentro_periodo,importado
32805,5871,7,1704296053,2024-01-03,dentro_periodo,importado
32806,5871,7,1704296128,2024-01-03,dentro_periodo,importado
32807,5871,7,1704296209,2024-01-03,dentro_periodo,importado
32808,5871,7,1704296230,2024-01-03,dentro_periodo,importado
32809,5871,7,1704296998,2024-01-03,dentro_periodo,importado
32810,5598,1,1704297995,2024-01-03,dentro_periodo,importado
32811,5599,1,1704298211,2024-01-03,dentro_periodo,importado
32812,5598,1,1704298408,2024-01-03,dentro_periodo,importado
32813,5598,1,1704299042,2024-01-03,dentro_periodo,importado
32814,5598,1,1704299272,2024-01-03,dentro_periodo,importado
32815,5871,7,1704299473,2024-01-03,dentro_periodo,importado
32816,5599,1,1704299517,2024-01-03,dentro_periodo,importado
32817,5871,7,1704299706,2024-01-03,dentro_periodo,importado
32819,5871,7,1704299715,2024-01-03,dentro_periodo,importado
32820,5599,1,1704299837,2024-01-03,dentro_periodo,importado
32821,5598,1,1704299980,2024-01-03,dentro_periodo,importado
32822,5598,1,1704300162,2024-01-03,dentro_periodo,importado
32823,5871,7,1704300349,2024-01-03,dentro_periodo,importado
32824,5598,1,1704302931,2024-01-03,dentro_periodo,importado
32825,5598,1,1704303194,2024-01-03,dentro_periodo,importado
32826,5599,1,1704303448,2024-01-03,dentro_periodo,importado
32827,5871,7,1704303775,2024-01-03,dentro_periodo,importado
32828,5598,1,1704304121,2024-01-03,dentro_periodo,importado
32829,5871,7,1704304557,2024-01-03,dentro_periodo,importado
32830,5871,7,1704304859,2024-01-03,dentro_periodo,importado
