inbox|conv_id|att_id|extension|mimetype
5871|126439|14740954|unknown|unknown
5871|126441|14740956|unknown|unknown
5871|126445|14740976|unknown|unknown
5871|126605|14753828|unknown|unknown
5871|126850|14767816|unknown|unknown
5871|126871|14767890|unknown|unknown
5871|126985|14775876|unknown|unknown
5871|127312|14790223|unknown|unknown
5871|127509|14794307|unknown|unknown
5871|127728|14797513|unknown|unknown
5871|127893|14798598|unknown|unknown
5871|127933|14799139|unknown|unknown
5871|127974|14799468|unknown|unknown
5871|128112|14800592|unknown|unknown
5871|128443|14822168|unknown|unknown
5871|128595|14827821|unknown|unknown
5871|128661|14828317|unknown|unknown
5871|128877|14848695|unknown|unknown
5871|129110|14857416|unknown|unknown
5871|129118|14858422|unknown|unknown
5871|129529|14887459|unknown|unknown
5871|129582|14892500|unknown|unknown
5871|129625|14895141|unknown|unknown
5871|129839|14906744|unknown|unknown
5871|129992|14918642|unknown|unknown
5871|130406|14936128|unknown|unknown
5871|130792|14939902|unknown|unknown
5871|131013|14942001|unknown|unknown
5871|131117|14952899|unknown|unknown
5871|131138|14955433|unknown|unknown
5871|131367|14969353|unknown|unknown
5871|131905|15026678|unknown|unknown
5871|131930|15027884|unknown|unknown
5871|132145|15054232|unknown|unknown
5871|132269|15071900|unknown|unknown
5871|132345|15078649|unknown|unknown
5871|132415|15082451|unknown|unknown
5871|132451|15084239|unknown|unknown
5871|132780|15098431|unknown|unknown
5871|133146|15123465|unknown|unknown
5871|133201|15123894|unknown|unknown
5871|133621|15158420|unknown|unknown
5871|133676|15165841|unknown|unknown
5871|133688|15167056|unknown|unknown
5871|134034|15195702|unknown|unknown
5871|134672|15234424|unknown|unknown
5871|135885|15276801|unknown|unknown
5871|140163|15501764|unknown|unknown
5871|140212|15507428|unknown|unknown
5871|143460|15690717|unknown|unknown
5871|144816|15769822|unknown|unknown
5871|148875|16003616|unknown|unknown
5871|149124|16005710|unknown|unknown
5871|149152|16006368|unknown|unknown
5871|149672|16043157|unknown|unknown
5871|157854|16475524|unknown|unknown
5871|18|10764394|unknown|unknown
5871|180446|17243401|unknown|unknown
5871|180529|17246639|unknown|unknown
5871|180586|17251267|unknown|unknown
5871|180649|17253543|unknown|unknown
5871|180662|17253563|unknown|unknown
5871|180716|17255980|unknown|unknown
5871|180733|17256879|unknown|unknown
5871|180739|17256908|unknown|unknown
5871|180858|17265119|unknown|unknown
5871|180903|17272073|unknown|unknown
