chatwoot_id,evolvy_id,evolvy_inbox_id,inbox_id,inbox_name,status_anterior,status_novo,created_at
199247,94885,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 02:58:08
199248,94886,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 03:13:08
199249,94887,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 03:24:06
199252,94894,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 03:55:05
199253,94895,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 04:01:06
199255,94897,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 04:13:05
199256,94898,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 04:29:05
199257,94899,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 04:49:05
199258,94903,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 05:31:05
199259,94904,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 05:45:05
199261,94906,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 05:56:06
199262,94908,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 06:35:05
199264,94912,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 06:57:05
199265,94913,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 07:26:06
199267,94915,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 07:27:12
199268,94916,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 07:27:19
199271,94920,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 07:38:07
199273,94924,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 08:18:06
199275,94929,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 08:49:09
199277,94932,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:17:05
199279,94934,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:33:07
199280,94937,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:37:07
199281,94940,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:39:06
199282,94941,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:40:08
199283,94942,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:42:04
199284,94943,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:44:05
199285,94944,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:45:07
199288,94950,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:49:05
199289,94951,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:50:05
199290,94952,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:51:04
199292,94954,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:53:06
199293,94955,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 09:57:05
199295,94958,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:02:04
199296,94959,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:07:06
199297,94960,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:07:09
199299,94963,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:10:06
199300,94964,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:13:07
199305,94973,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:26:05
199309,94978,5598,1,Histórico Evolvy,pending,snoozed,2024-06-18 10:31:06
